"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","D-2","PA14","PAO1","SF416"
"QLX61_RS02910","","","4","4","1","1","6564","","","","425","656","540","NNL25_RS02785","PA14_07250","PA0557","QLX61_RS02910"
"PA0959","","","4","4","1","1","769","","","","428","629","528","NNL25_RS21195","PA14_51860","PA0959","QLX61_RS21130"
"PA0847","","","4","4","1","1","3232","","","","1955","2207","2103","NNL25_RS21790","PA14_53310","PA0847","QLX61_RS21730"
"PA0734","","","4","4","1","1","3355","","","","212","272","257","NNL25_RS22385","PA14_54790","PA0734","QLX61_RS22330"
"NNL25_RS22505","","","4","4","1","1","1282","","","","506","917","608","NNL25_RS22505","PA14_55117","PA0711","QLX61_RS22435"
"hxcY","","","4","4","1","1","1315","","","","1142","1211","1177","NNL25_RS22655","PA14_55470","PA0683","QLX61_RS22575"
"flp","","","4","4","1","1","3818","","","","212","218","216","NNL25_RS22880","PA14_55940","PA4306","QLX61_RS22800"
"PA4712","","","4","4","1","1","2284","","","","512","512","512","NNL25_RS25115","PA14_62370","PA4712","QLX61_RS24965"
"NNL25_RS26500","","","4","4","1","1","1997","","","","2252","2996","2453","NNL25_RS26500","PA14_65860","PA4982","QLX61_RS26395"
"thpR","","","4","4","1","1","4858","","","","548","548","548","NNL25_RS10655","PA14_27110","PA2861","QLX61_RS10690"
"PA14_68490","","","4","4","1","1","1788","","","","443","443","443","NNL25_RS27560","PA14_68490","PA5185","QLX61_RS27520"
"PA14_69550","","","4","4","1","1","1704","","","","2042","2075","2066","NNL25_RS27980","PA14_69550","PA5266","QLX61_RS27935"
"PA14_72980","","","4","4","1","1","1430","","","","758","968","915","NNL25_RS29345","PA14_72980","PA5532","QLX61_RS29305"
"pcoA","","","4","4","1","1","282","","","","1820","1898","1855","NNL25_RS15300","PA14_37790","PA2065","QLX61_RS15530"
"PA0014","","","4","4","1","1","977","","","","272","272","272","NNL25_RS00070","PA14_00150","PA0014","QLX61_RS00105"
"PA14_00160","","","4","4","1","1","978","","","","317","317","317","NNL25_RS00075","PA14_00160","PA0015","QLX61_RS00110"
"PA14_00310","","","4","4","1","1","990","","","","1286","1286","1286","NNL25_RS00135","PA14_00310","PA0027","QLX61_RS00170"
